class,text
Black Matters,"Fifty years ago, 48% of African American adults and 57% of African American children lived in poverty. Today, only 28% of African American adults and 38% of African American children live in poverty. We've come so far, but still there is a long way to go."
Black Matters,7-Year-Old Madeleine from Charleston drew this picture in order to show us that being colorblind is awesome and we should give it a try.
Black Matters,"Sadness and shocking tragedy at historically black church in Charlestone        A white gunman opened a fire at pastor and 8 other church members at black church in Charlestone, S.0 on Wednesday night. The young clean-shaved shooter walked in during a prayer meeting and started shooting the people. Charleston Police Chief Greg Mullen said that the incident would be investigated as hate crime. Emanuel AME Church is a historically Africa-American church which was found by Denmark Vesey in order to organize a slave revolt in 1822. Despite the first black American president, Africa-Americans remain the most common victims of hate crimes. But what if the hate crime relates to xenophobia? American xenophobia is based on the dominant white heritage that is giving birth to another form of hate and discrimination. These forms take another level of hate. Unfortunately, American tolerance is not what we think it is. US public is swapping patriotism for nationalism, tolerance for Islamophobia, racism and anti-immigrant sentiment. For instance, last February American gunman killed three young Muslims two miles away from the University of North Carolina campus. Was this gunman motivated by hate and intolerance? Should we expect for more hate-crimes? What if American racial change still occurs through generations? What of it racism happens due to unequal opportunities? What if America is still a deeply racist country? What if the church is not a safe place anymore?"
LGBT United,"THE COLORFUL ACTIVISM OF NEW YORK'S MOST RADICAL QUEERS These wonderful people creating a powerful community through progressive politics, community gardens, wild parties, and colorful performance. Call them the radical queers, and know that the term is flexible; and evolving. From the local gardens of the East Village to Bushwick warehouses; a new wave of New York artists; thinkers and activists young and old. They are banding together to question and redefine what it means to be queer today. It's beauty; perfection; freedom, and of course lots and lots of LOVE! #Igbtq #queer #NYC #art #glamour #perfection"
LGBT United,"NOM'S LAST ATTEMPT TO BAN SAME SEX MARRIAGE National Organization for Marriage is asking all of the GOP presidential candidates to sign an anti-equality pledge. Let's take a look at just how crazy this pledge gets.       That's just nuts! They want candidates to support a constitutional amendment to ban marriage nationwide. This will never happen. For the last decade public support for marriage equality has gone from 35 percent to 55 percent! But they don't stop there. NOM also wants candidates to ""work to overturn any Supreme Court decision"" in favor of the freedom to marry. NOM wants the president to only nominate judges who will uphold marriage bans, but at this point, legal consensus so strongly supports marriage equality that supporting marriage bans is a sign that person isn't qualified to be a judge. Also, NOM wants the candidates to weaken civil rights laws, creating loopholes to let companies and citizens to discriminate if they cite a religious justification. That could actually happen — and it already has in some states — so it's a huge concern. And fifth, they want the Department of Justice to investigate harassment against people who oppose marriage equality. Sure, gays and lesbians are harassed every day, fired, kicked out of their homes and schools, separated from their families, but I really hope soon there'll be NO MORE of it! There's a part of me that feels very sad for NOM's fanatics. When they finally kick the bucket, they'll be dealing with the reality (whether they openly face it or not) that their Life's Work has amounted to NOTHING. Nothing they worked for made anyone's life better. At all. They didn't win, and they wasted their lives fighting against the inevitable. And when they're dead and gone, they'll be remembered only as footnotes in shameful history — or more likely they'll be forgotten completely. #LGBT #NOM #SameSexMarriage #Marriage #SCOTUS #equality"
LGBT United,"RUBY ROSE SHARING THOUGHTS ABOUT GENDER FLUIDITY. Ruby Rose has long been the celebrity crush of lesbians the world over. But now that she's a star in 'Orange is the New Black', the popularity of this model, actress, and VJ has grown worldwide.        ""Gender fluidity is not really feeling like you're at one end of the spectrum or the other. For the most part, I definitely don't identify as any gender,"" - Rose said; - ""I'm not a guy; I don't really feel like a woman, but obviously I was born one. As a little kid, I was convinced that I was a guy. Then in my teens, I tried to be quite feminine ... And after a little bit, chopped everything off and am kind of back where I started. So, I'm somewhere in the middle, which - in my perfect imagination - is like having the best of both sexes."" #Igbt #RubyRose #GenderFluidity #lesbian #OrangelsTheNewBlack"
LGBT United,"Pete Buttigieg is South Bend's 32nd mayor and America's youngest mayor of a city of over 100,000 residents. Recently Buttigieg came out publicly as gay. In life and in service, people like Pete is an inspiration for us all!        #Igbt #QueerQuote #USpolitics #Indiana #ComingOut #Buttigieg"
LGBT United,"The ninth transgender was found death in the USA Transgender teen Mercedes Williamson was found dead in a wooded area. She is the ninth confirmed transgender homicide victim in the USA this year. Police in George County. Mississippi have charged a suspect Josh Brandon Vallum. Police said that Mercedes and Josh knew each other, but it is not clear if Vallum knew Williamson was a transgender. Jeanie Miller, whom Williamson had been living with, said that Vallum knew that Williamson was transgender. Modern America is too dangerous for transgenders. This is the ninth transgender killing based on gender identity. According to the National Coalition of Anti-Violence Programs' report hate-motivated violence against transgenders rose 13%. Unfortunately, it is very difficult to live as a transgender in the South. Alabama even passed a religious freedom law in 1998 that allows discrimination against LGBT people. That also allows lawmakers to justify hostility toward transgender people. And that we call `freedom'? America is no longer land of freedom!"
LGBT United,"Matt Cage comes out as gay       The pro wrestler Matt Cage, known as 'Money' publicly announced that he is gay in a Facebook post. Previously Matt Hullum identified himself as bisexual. Sorry, ladies. I'm officially pulling myself off of the market. Don't hate me too bad.' 'I truly have nothing to hide anymore,' he wrote. 'I spent the majority of my life lying, hiding and depressed because I felt like I couldn't truly be who I wanted to be and live freely as I saw fit. I had to act and that's not me. I, nor anyone else, should have to do that.' Matt decided to tell the truth publicly because of speculation that was going behind his back. This news should please all progressive humanity because the coming-out once again confirms the fact that homosexuality and masculinity are a perfect combination and do not contradict each other."
LGBT United,"First LGBT studies course opens in a San Francisco high school A San Francisco high school may be the first US school to offer an LGBT studies course. The course will teach terminology and the history of LGBT movement. ""We'll look at what it's been like for gay men, what it's been like for lesbian women, what it's been like for transgender people,"" Ruth Asawa High School Social Studies teacher Lyndsey Schlax told. Schlax has been working with Cleve Jones, a human rights activist, who was mentored by Harvey Milk. It is proposed that the class will begin in autumn. Really perfect idea! There are at least twenty eight percent of LGBT students in Asawa High School. It is the fact that we need such classes in every American school! Children shouldn't be afraid to show who they are; they shouldn't be afraid to speak about LGBT history; they should know that it is normal to be gay or lesbian or transgender. Everybody should be taught to understand LGBT people and recognize them as ordinary citizens."
LGBT United,"Good morning, dear friends! Have a tasty and colorful morning! All you need is love, coffee and rainbow dishes!"
LGBT United,Silent no more: we deserve equal rights! This photo of gay rights protest was made in New York in 1971. These are early days in the fight for gay rights.
LGBT United,"California Attorney General ruled against the execution of gays and lesbians        A California judge argued against a proposed initiative about the execution of gay and lesbian people, naming this measure ""unconstitutional on its face."" The Sodomite Suppression Act proposes that ""any person who willingly touches another person of the same gender for purposes of sexual gratification be put to death by bullets to the head or by any other convenient method."" The act also will outlaw advocating gay rights to minors. California Attorney General Kamala Harris claimed that the proposal was unconstitutional and it had no place in civil society. The proposal reminds me the Inquisition. We live in a free and tolerate country! So even talks about such an initiative should be immediately stopped. Where is our President? Stop considering gays as naughty and not like all the others. We are all equal. Despite all the arguments that the opponents of gay marriage call, polls show that the majority of Americans stand for gay marriages. Why not to hold a referendum as the Irish did? Why we should listen to conservatives?"
LGBT United,"""Gay, Lesbian, Bi, and Straight, we are the community and family of God, and we are here knowing God loves us."" -Rev. Nathan Baxter        #Igbtq #together #community #Gay #Lesbian #Transgender #NatanBaxter"
LGBT United,"Transgender employees will get health coverage        On Tuesday the federal government ordered health insurers to include transition-related health coverage for transgender employees in their plans. ""Effective January 1, 2016, no carrier participating in the Federal Employees Health Benefits Program may have a general exclusion of services, drugs or supplies related to gender transition or ̀ sex transformations,""' the new ""carrier letter"" said. LGBT advocates who have been pressing the administration for change welcomed the news. ""With today's announcement, transgender federal employees can now access health care that is so fundamental to their well- being and, in the long-term, will make transgender employees happier and more productive workers,"" National Center for Transgender Equality Executive Director Mara Keisling told. Yeah, it is really happy news for transgender people! Now the discrimination on coverage for trans people will be ended."
Black Matters,"What's life of black American today? How equal are we? Have you ever been hurt by aggressive police officers because of your race? What's your story?        Take an action and tell us your story and we post it on ""Black Matters"". We don't want our community to continue struggling with racism and police aggression. We want to fight back and to show how strong we are. Add your voice by sharing your experiences with us. You can send your story to blackmattersus@gmail.com or you can message us via Facebook anonym. or not. Being black in America comes with extra obstacles but together we call for powerful justice! Tell your story!"
Being Patriotic,"1 absolutely love this picture. I can't explain why, but just everything about it makes it kind of dusty in here...."
Being Patriotic,This cute babe is a fan of the Patriots! What is your favorite NFL team?
LGBT United,"Excuse me ... WHAT?!?  Taxpayers Spend $3.5 Million to Find Out Why Lesbians Are Fat  A U.S. Health and Human Services study to understand why lesbians are fat  has now cost taxpayers over $3.5 million to-date.  The study, ""Sexual Orientation and Obesity: A Test of a Gendered  Biopsychosocial Model,"" seeks to determine why there is a disparity in the  obesity rates between straight women and lesbian women and straight men  and gay men.  Oh God!! It made you look the fools! People overeat when they are unhappy  with themselves and their lives! Not only lesbians! And we have enough  reasons! First of all - your research!!lt's humiliating!"
LGBT United,"Congratulations! Now we have the Gay Scouts of America!  The Boy Scouts of America Executive Committee unanimously approved  allowing gay adults to serve as leaders, officials said on Monday, in a major  step toward dismantling a policy that has caused deep rifts in the 105-year-old  organization.  This resolution will allow chartered organizations to select adult leaders  without regard to sexual orientation, continuing Scouting's longstanding  policy of chartered organizations selecting their leaders.  The Boy Scouts of America's ban on gay adults has stood as a towering  example of explicit, institutional homophobia in one of America's most  important and recognizable civic organizations.  This is a step in the right direction, but we're still really concerned that there  are still going to be groups that are going to be hostile to gay leaders ... This  story certainly brought out the haters and the loony ""Christians."" They've lost  so many cultural battles in their effort to keep us all in the middle ages that I  think it's unhinged most of them!"
LGBT United,"SOLDIER SHANE. Recently Pentagon confirmed plan to lift ban on transgender military service. Let's meet the big player in repealing the ban.        Sergeant Shane Ortega, 28, doesn't stand out or appear out of the ordinary among his fellow Army soldiers. But there's one thing that differs him from the bulk of troops. Shane is the first openly trans soldier of the US Army. He's astonishingly handsome, he works out constantly (check out his muscular build), he covered in tattoos, he's part black, Latino and Cherokee, he's obsessed with his girlfriend (a former model and aspiring doctor); and he gets giddy talking about both video games and chopping wood in Alaska. Yet despite his solid performance and commitment to serve, SGT Ortega has been at risk of getting kicked out of the Army because in official Army paperwork, he is identified as a woman. But the real warriors never surrender! Ortega struggled for the equal rights for the transgender people in the military. And he succeeded! America's military progressing slowly towards inclusion and equal opportunity. Let's hope that these changes'll ensure peace, instead of waging more war. #Igbt #transgender #equality #usarmy #Ortega"
LGBT United,"Dykes On Bikes birthday is in July!        Dykes on bikes is a chartered lesbian motorcycle club with 22 chapters and numerous affiliations, founded back in 1976. They are known for their participation in gay pride events such as Pride parades, and significant LGBT events like the international Gay Games. Dykes on Bikes have been leading marches such as Gay pride parades, Gay Games events and protests. The Dyke March events are generally non-commercial, often in sharp contrast to corporate-sponsored pride events, and are usually inclusive of lesbian, bi, and trans women. Leading pride parades around the world from San Francisco to Melbourne, Paris, London, Tokyo, Toronto, Vancouver, Sydney,Zurich, Tel Aviv, you name it! #DykesOnBikes #DOB #lesbian #dyke #Igbt #prideparade"
LGBT United,"Please ... STOP DISCRIMINATION AGAINST HOMOSEXUAL TEACHERS!!  After eight years on the job, Margie Winters was fired as director of religious  education at Waldron Mercy Academy outside Philadelphia not because she  just married her wife, but because some parents just found out that she's  been married for all eight years.  Unfortunately LGBT teachers have long understood that openly expressing  their identity in school can make them an easy target for discrimination. It is  the biggest mistake!  When students perceive that they're not supposed to talk about  homosexuality, they conclude that there must be something wrong about  being gay. And it's a dangerous message that can lead to bullying and  harassment.  Gay teachers need to serve as example for kids! It's very powerful both for  straight students and for LGBT students to know that they have teachers and  people they respect who are LGBT and who are good at their jobs. It's  important for all students to see that nothing to be ashamed! And it must be  illegal for employers to discriminate against employees based on their actual  or perceived sexual orientation!"
LGBT United,When this triumphant yearbook entry was published
LGBT United,"This man is great example of human filth and lies!! Rape children!?! Really?!  Are you nuts?!  Louisiana Justice Refuses To Obey Supreme Court, Writes Opinion Implying  Gay People Rape Their Children  Raising children and starting a family is something that all people look forward  to in life! We are just people, not criminals! AND WE LOVE CHILDREN, NOT  RAPE!! We are all equal! It is better for child to live with homosexual parents  then to live on the street or in orphanage! Millions of children need love and  they don't care if our love is different. Why should we let those children that  are left on the streets be on the streets when a warm and open home are  open to them?! I don't understand!!"
LGBT United,"The greatest legacy one can pass on to one's children and grandchildren is  not money or other material things accumulated in one's life, but rather a  legacy of character and faith.  Love your children and have a good day!"
LGBT United,I wish all parents were like this
LGBT United,"Homophobic nurse tries to discourage birth mom from allowing gay couple to  adopt child  While the birth mother was resting with the baby, Andy and his partner took a  break from the hospital to get some food. When they returned, they had a  flurry of phone messages from the mother, crying and urging them to get back  soon. A nurse had been questioning her about her decision to let a gay  couple adopt her baby.  ""Aren't you afraid those boys are gonna hurt that baby? Aren't you afraid  that he's not gonna grow up and be normal?"" asked the nurse.  Excuse me who the hell is she?! This bigot is forcing her views onto the  mother, because she doesn't think the baby would grow up ""normal""? A  mother who's making the difficult decision to place her son up for adoption,  and a wonderful couple who wants to raise that child. What the hell right does  the nurse have to try to stop that? I hope they fire her.  I'm happy for the Gay couple on becoming parents!"
LGBT United,"Nature chooses who will be transgender; individuals don't choose this  We received a letter ... the history of life ...  «Hello! Just wanted to see if you could share my coming out as trans story on  your page. I have been on a long, rough journey to this point and I think my  story could help younger trans youth see that no matter how bad it gets it  always gets better. I would really appreciate this because I want to become  someone who inspires the LGBT community to be themselves!  Ever since I was little, I knew I was different. I wasn't like any of the other  kids. I had a unique way of thinking and often that left me isolated. Something  I still feel the sting of today. Unlike most boys who played with Spiderman and  Superman action figures when they were little, I played with barbies ... I  wanted to look like them. I wanted to be them. It felt right playing with these  dolls. I had to hide when I did it though because even at an early age, I knew  boys weren't supposed to play with dolls. Once I had gotten got caught by  my grandmother's ex husband and he told me to put them away and stop  being a sissy .... ""  Please spend 5 minutes to read this letter ... it is very important just to be  heart ...  Thank you for your brave act! You are a true hero!  Please share your stories and photos .... Inspire us and others!"
LGBT United,"Homophobic nurse tries to discourage birth mom from allowing gay couple to  adopt child  While the birth mother was resting with the baby, Andy and his partner took a  break from the hospital to get some food. When they returned, they had a  flurry of phone messages from the mother, crying and urging them to get back  soon. A nurse had been questioning her about her decision to let a gay  couple adopt her baby.  ""Aren't you afraid those boys are gonna hurt that baby? Aren't you afraid  that he's not gonna grow up and be normal?"" asked the nurse.  Excuse me who the hell is she?! This bigot is forcing her views onto the  mother, because she doesn't think the baby would grow up ""normal""? A  mother who's making the difficult decision to place her son up for adoption,  and a wonderful couple who wants to raise that child. What the hell right does  the nurse have to try to stop that? I hope they fire her.  I'm happy for the Gay couple on becoming parents!"
Black Matters,"Man Dies After Police Use Pepper Spray During Arrest In Alabama        A man in Alabama collapsed and died after officers sprayed him with pepper spray while arresting him after a chase, Tuscaloosa police said Saturday. Police said Ware ran into nearby woods and struggled with officers when they caught up with him. Officers sprayed him with oleoresin capsicum, more commonly known as pepper spray, according to police. The chemical agent debilitates a person by causing temporary blindness and irritating a person's nose and throat. The six officers who were involved in Ware's case will remain on duty during an investigation, according to police. Officials said police car dash cam and body camera footage of the incident would be released after that investigation. This tragedy happen accidentally, and probably the police officers didn't wish death upon him, because they tried to give him first aid. However, the man is dead and there is no chance to rewind and bring him back. He's gone forever, but the cops will remain on duty and get away with this murder. Is this acceptable? We will know about he process of detention after the investigation is over. Let's wait and keep our eyes open. Black Lives Matter!"
Black Matters,"Have you ever been mistreated or abused by racist police officers? Do you want you story to be read by thousands of people?        We can make this happen easily! We can post your story in our community.lt's very important to us, because black people should stop struggling with racism and police brutality. If we all speak out - we can do it! We can obtain justice and equality. You can send your story to blackmattersus@gmail.com or you can message us via Facebook anonym or not. We are not to judge, we are to share experience and support each other. So don't be shy and help the black community. United we stand!"
Black Matters,"Unarmed Black Man On A Horse Allegedly Strangled To Death By White Cop In Mississippi        One of the last things that Jonathan Sanders, an unarmed black man, reportedly said before he died was, ""Let me go. I can't breathe."" On Wednesday night, a white police officer in the small town of Stonewall, Mississippi allegedly strangled Sanders, a 39-year-old black horseman, with a flashlight before killing him in view of his family members. Officer Kevin Herrington pulled Sanders off a horse and choked him with a flashlight, Sander's attorney, Stewart Parrish, initially told an ABC affiliate. Parrish later clarified that those allegations came from family members who witnessed the death. Parrish said that Sanders experienced ""some kind of asphyxiation"" during the altercation. Sanders died on the scene and leaves behind two children. The last words of Eric garner were ""I can't breathe,"" the last words of Jonathan Sanders were ""I can't breathe, let me go"". Biting irony, isn't it? Since when is it illegal to train your horse in close propinquity to your house? America was always (and it is now) a police state for black people."
Black Matters,"""I cant breathe"" symbolize an anger and frustration over the relationship between law enforcement and black people in America."
